MODIFIED ROUTE: 
west to 31
west to 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
south to 20
east two 30
north to 31
west two 21
